,,,Прайс на размещение рекламного баннера,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GID,Регион,Город,Район,Название пакета,Категория ЖК,Дата застройки экранов,Класс жилья,Наименование ЖК,Адрес,"Коррдинаты (широта, долгота)",,Год сдачи дома,Этажность,Количество квартир,Количество жильцов,Всего экранов,Число экранов в холле,Всего холлов в доме,Число экранов в лифте,Всего лифтов в доме,Тип экрана,Способ показа,Формат,Период/дней,Частота контакта рекламы c 1 жителем (Frequency),Количество контактов с рекламой (OTS),Стоимость 1000 контактов (CPT) с НДС для Федерального и крупного бизнеса,ФО/скрин с камеры,Фото,Цена за размещение на 1 экране/месяц руб. без НДС,Цена за размещение на 1 экране/месяц руб. в т.ч НДС 22%,"Стоимость размещения в 1 доме/1 месяц, руб. без НДС ","Стоимость размещения в 1 доме/1 месяц, руб. в т.ч.НДС 22%"
U35,Республика Башкортостан,Уфа,Ленинский,Ленинский 1 Затон_мкрн. 8 Марта,Б,11.2025,Стандарт,Зеленый квартал (затон),"улица Дмитрия Купцова, 2",54.792774,55.844515,2021,25,244,683,2,1,1,1,1,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,60,41299,387,100%,,6557,8000,13115,16000
U35,Республика Башкортостан,Уфа,Ленинский,Ленинский 1 Затон_мкрн. 8 Марта,Б,11.2025,Стандарт,Зеленый квартал (затон),"улица Дмитрия Купцова, 4",54.793165,55.845408,2021,26,244,683,2,1,1,1,3,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,34,22944,697,100%,,6557,8000,13115,16000
U35,Республика Башкортостан,Уфа,Ленинский,Ленинский 1 Затон_мкрн. 8 Марта,Б,11.2025,Стандарт,Зеленый квартал (затон),"улица Дмитрия Купцова, 6",54.793407,55.846544,2021,26,249,697,2,1,1,1,3,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,34,23414,683,100%,,6557,8000,13115,16000
U35,Республика Башкортостан,Уфа,Ленинский,Ленинский 1 Затон_мкрн. 8 Марта,Б,11.2025,Стандарт,Зеленый квартал (затон),"улица Гази Загитова, 7",54.789592,55.847040,2022,26,298,834,1,1,1,0,3,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,20,16813,476,100%,,6557,8000,6557,8000
U35,Республика Башкортостан,Уфа,Ленинский,Ленинский 1 Затон_мкрн. 8 Марта,Б,11.2025,Стандарт,Зеленый квартал (затон),улица Новоуфимская 15,54.795722,55.878427,2021,20,456,1 277,4,2,2,2,4,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,40,51455,622,100%,,6557,8000,26230,32000
U36,Республика Башкортостан,Уфа,Дёмский,Дёмский_мкрн. Цветы Башкирии,А,11.2025,Комфорт,ЖК Семь звёзд,"улица Правды, 18/4",54.703752,55.833203,2023,28,280,784,2,1,1,1,3,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,34,26329,608,100%,,6557,8000,13115,16000
U37,Республика Башкортостан,Уфа,Кировский,Зеленая Роща 1,Б,12.2025,Комфорт,ЖК Гурьевский,"улица Караидельская, 54/1",54.714302,55.989944,2020,18,454,1 271,4,0,2,4,4,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,40,51229,625,100%,,6557,8000,26230,32000
U38,Республика Башкортостан,Уфа,Калининский,Инорс_Сипайлово,А,12.2025,Комфорт,ЖК Черниковские высотки,"улица Орджоникидзе, 19/2",54.806844,56.129703,2019,27,597,1 672,2,2,1,0,3,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,40,67365,238,100%,,6557,8000,13115,16000
U39,Республика Башкортостан,Уфа,Калининский,Инорс_Сипайлово,А,12.2025,Стандарт,ЖК Полесье,"бульвар Баландина, 4",54.781290,56.136315,2012,16,95,266,2,0,1,2,2,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,40,10720,1493,100%,,6557,8000,13115,16000
U39,Республика Башкортостан,Уфа,Калининский,Инорс_Сипайлово,А,12.2025,Стандарт,ЖК Полесье,"улица Валерия Лесунова, 10/1",54.782651,56.136540,2014,16,356,997,4,0,5,4,8,Вертикальный 4*3,Digital (без звука),статичный баннер,31,20,20086,1593,100%,,6557,8000,26230,32000
U40,Республика Башкортостан,Уфа,Калининский,Инорс_Сипайлово,А,12.2025,Стандарт,ЖК Полесье 2,"улица Валерия Лесунова, 6А",54.785226,56.136800,2015,18,79,221,2,0,1,2,2,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,40,8914,1795,100%,,6557,8000,13115,16000
U41,Республика Башкортостан,Уфа,Калининский,Инорс_Сипайлово,А,12.2025,Стандарт,ЖК Полесье 3,"улица Сельская Богородская, 35",54.787131,56.135048,2017,18,193,540,3,0,3,3,6,Вертикальный 4*3,Digital (без звука),статичный баннер,31,20,10889,2204,100%,,6557,8000,19672,24000
U42,Республика Башкортостан,Уфа,Советский,Центр,А,12.2025,Комфорт,ЖК Петропавловский,"улица Пархоменко, 123",54.739643,55.965375,2022,25,890,2 492,8,4,4,4,4,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,60,150641,425,100%,,6557,8000,52459,64000
U43,Республика Башкортостан,Уфа,Кировский,Зеленая Роща 1,Б,12.2025,Стандарт,ЖК на Караидельской,"улица Караидельская, 60",54.716435,55.987482,2015,25,248,694,3,1,1,2,4,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,40,27984,858,100%,,6557,8000,19672,24000
